,Student Name,TeamNumber,TeammateNumber,Q29_1,Q29_2,Q29_3,Q33_1,Q33_2,Q33_3,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q16_1.1,Q16_2.1,Q16_3.1,Q16_4.1,Q16_5,Q16_6.1,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,ResponseId
0,A,1,1,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_ZlwqGK7oRXFuk2B
1,B,1,2,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_3EBj9T7Yvk5B9p8
2,C,1,3,3.0,3.0,3.0,3.0,3.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_3kzGFidBS7a7uMY
3,D,1,4,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_2PaPevsJwcfXqWL
4,E,2,1,1.0,1.0,1.0,1.0,3.0,1.0,23.0,31.0,23.0,23.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_T5xAPMwjZYMFWLL
5,F,2,2,2.0,,2.0,3.0,5.0,3.0,19.0,29.0,26.0,26.0,,,5.0,2.0,2.0,2.0,,,1.0,3.0,2.0,2.0,,,5.0,2.0,2.0,2.0,,,1.0,2.0,2.0,2.0,,,R_31dvg2NBmGqtYQ5
6,G,2,3,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_1FRNOY3zwSPdR3p
7,H,2,4,1.0,1.0,1.0,2.0,2.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_1QLcfjXbAngCxD3
8,I,3,1,1.0,1.0,1.0,1.0,1.0,1.0,22.0,26.0,26.0,26.0,,,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_2SlgQZljpnQGveA
9,J,3,2,1.0,2.0,1.0,2.0,2.0,1.0,20.0,20.0,30.0,30.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_25AVAsodSyfSrN6
10,K,3,3,1.0,1.0,1.0,2.0,2.0,2.0,10.0,30.0,30.0,30.0,,,5.0,2.0,1.0,1.0,,,5.0,2.0,1.0,1.0,,,5.0,3.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,R_2f0ZsvUPeedNUT1
11,L,3,4,2.0,2.0,2.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,2.0,2.0,2.0,2.0,,,3.0,2.0,3.0,2.0,,,2.0,2.0,2.0,2.0,,,3.0,2.0,3.0,2.0,,,R_OJSyCK2MSgACBCp
12,M,4,1,2.0,2.0,1.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,2.0,,,1.0,2.0,1.0,2.0,,,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,R_2rosagHW7iVN9EB
13,N,4,2,1.0,1.0,1.0,2.0,2.0,2.0,24.0,26.0,21.0,29.0,,,1.0,1.0,1.0,1.0,,,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_124gzyxdbwE9L43
14,O,4,3,1.0,1.0,1.0,2.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,2.0,2.0,2.0,1.0,,,1.0,1.0,1.0,2.0,,,R_1LLHZVRIHMEDqGM
15,P,4,4,2.0,2.0,2.0,2.0,3.0,1.0,22.5,25.0,22.5,30.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,1.0,2.0,1.0,,,2.0,2.0,2.0,2.0,,,R_1DIuaOD5PCrb4uI
16,Q,5,1,1.0,1.0,1.0,1.0,1.0,1.0,34.0,33.0,33.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,R_1pKTXk01ItOXqoO
17,R,5,2,1.0,1.0,1.0,1.0,2.0,1.0,34.0,33.0,33.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,R_2bTT6u9NwcIbD3L
18,S,5,3,1.0,1.0,1.0,1.0,2.0,1.0,35.0,35.0,30.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,R_1EYcPtLZRJZISrA
19,T,6,1,3.0,4.0,3.0,4.0,7.0,2.0,35.0,20.0,10.0,35.0,,,1.0,3.0,6.0,1.0,,,2.0,4.0,4.0,2.0,,,1.0,3.0,7.0,1.0,,,3.0,3.0,4.0,2.0,,,R_3PMNFyQDOYTAlvS
20,U,6,2,2.0,2.0,2.0,2.0,7.0,2.0,29.0,28.0,3.0,40.0,,,1.0,1.0,7.0,1.0,,,1.0,1.0,7.0,1.0,,,1.0,1.0,7.0,1.0,,,1.0,1.0,3.0,1.0,,,R_1eQxUCCU2O9qq80
21,V,6,3,1.0,2.0,2.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,1.0,2.0,2.0,1.0,,,2.0,2.0,2.0,2.0,,,1.0,2.0,2.0,1.0,,,2.0,2.0,2.0,2.0,,,R_2S3sXnYADUGizsY
22,W,6,4,2.0,3.0,3.0,1.0,6.0,1.0,35.0,20.0,5.0,40.0,,,1.0,3.0,7.0,1.0,,,1.0,4.0,7.0,1.0,,,1.0,2.0,7.0,1.0,,,1.0,1.0,1.0,1.0,,,R_24pK5AWf0Wx3IeJ
23,X,7,1,2.0,2.0,2.0,2.0,2.0,2.0,95.0,100.0,90.0,95.0,75.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,R_3oRyigbzVMM7EWR
24,Y,7,2,2.0,2.0,7.0,7.0,7.0,1.0,10.0,40.0,5.0,15.0,10.0,20.0,7.0,2.0,7.0,3.0,7.0,4.0,6.0,2.0,7.0,3.0,5.0,3.0,7.0,2.0,7.0,4.0,5.0,3.0,7.0,3.0,7.0,7.0,7.0,7.0,R_1LdtSVKxFbFkP9e
25,Z,7,3,1.0,1.0,1.0,1.0,1.0,1.0,17.0,18.0,17.0,17.0,14.0,17.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,R_2qdSJ2F9l8OWDf2
26,AA,7,4,2.0,2.0,2.0,3.0,4.0,3.0,16.0,20.0,16.0,16.0,16.0,16.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,R_SUHwoHc4yZVWp5T
27,AB,7,5,4.0,6.0,6.0,5.0,5.0,5.0,16.0,23.0,14.0,15.0,15.0,17.0,3.0,2.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,R_1K8RdP5RgSJ2mec
28,AC,7,6,2.0,3.0,3.0,2.0,3.0,1.0,17.0,20.0,16.0,17.0,13.0,17.0,4.0,1.0,4.0,3.0,6.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,R_22RlDRc9mL57eAE
29,AD,8,1,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_tRviHdRpwHOiiD7
30,AE,8,2,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_3CVmOPoz06nkWf4
31,AF,8,3,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_2U4p3eHxZGZCeE6
32,AG,8,4,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_3KIsTEgPHfzLgk7
33,AH,9,1,2.0,2.0,2.0,2.0,2.0,2.0,26.0,26.0,26.0,22.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,R_XKPLDuT6fRz0ziV
34,AI,9,2,,,,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,R_a9Pwv7Menqyvvyh
35,AJ,9,3,1.0,1.0,1.0,1.0,2.0,1.0,28.0,27.0,15.0,30.0,,,2.0,2.0,2.0,1.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,R_1IoeP0OSrcOTR39
36,AK,9,4,2.0,2.0,2.0,2.0,3.0,2.0,25.0,25.0,20.0,30.0,,,2.0,2.0,3.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,,R_2RU47uayOcRLe6m
37,AM,10,2,2.0,3.0,3.0,1.0,2.0,1.0,23.0,28.0,26.0,23.0,,,3.0,2.0,3.0,5.0,,,2.0,2.0,2.0,4.0,,,2.0,1.0,2.0,2.0,,,2.0,3.0,2.0,3.0,,,R_2ymFZRCxG57Mdxw
38,AN,10,3,2.0,3.0,2.0,1.0,2.0,2.0,25.0,25.0,25.0,25.0,,,4.0,2.0,2.0,4.0,,,3.0,2.0,2.0,3.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,R_0Cn6Q93eDKNnL9L
39,AO,10,4,1.0,2.0,2.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_11jawnLmAI587UJ
40,AP,11,1,2.0,1.0,1.0,2.0,1.0,1.0,23.0,23.0,23.0,31.0,,,1.0,1.0,1.0,1.0,,,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_OprvGgkCJ4gj8Od
41,AQ,11,2,2.0,1.0,1.0,1.0,2.0,1.0,25.0,25.0,20.0,30.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_2bV4tNBBZ3JNipE
42,AR,11,3,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,20.0,30.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_3P6K9gex5qwjvgs
43,AS,11,4,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_1prr2fSTMXxEajX
44,AU,13,2,3.0,3.0,2.0,3.0,2.0,2.0,25.0,23.0,29.0,23.0,,,2.0,5.0,2.0,5.0,,,3.0,2.0,2.0,2.0,,,2.0,3.0,1.0,3.0,,,1.0,1.0,1.0,1.0,,,R_2Wx6bxqEh9LExd7
45,AV,13,3,3.0,3.0,3.0,3.0,3.0,3.0,40.0,20.0,20.0,20.0,,,2.0,3.0,2.0,3.0,,,2.0,3.0,2.0,3.0,,,1.0,2.0,2.0,3.0,,,2.0,2.0,2.0,2.0,,,R_2pQf5OiTh6HVtqY
46,AW,13,4,2.0,2.0,2.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,R_3JKM4ldu1Tld0wD
47,AX,14,1,1.0,1.0,1.0,1.0,1.0,1.0,30.0,30.0,40.0,,,,2.0,2.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,R_3KoonFytGNulR7B
48,AY,14,3,1.0,1.0,1.0,1.0,1.0,1.0,32.0,32.0,36.0,,,,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,R_2sSfWw9J329yNkQ
49,AZ,14,4,1.0,1.0,1.0,2.0,2.0,1.0,33.33333,33.33333,33.33333,,,,1.0,1.0,1.0,,,,1.0,1.0,2.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,R_1o0xpME0r6Bbs9J
50,BB,15,2,5.0,5.0,6.0,6.0,5.0,3.0,15.0,70.0,15.0,,,,6.0,2.0,6.0,,,,6.0,2.0,6.0,,,,5.0,2.0,5.0,,,,5.0,4.0,5.0,,,,R_21ynkAIzhIguRLR
51,BC,15,3,2.0,1.0,3.0,2.0,3.0,1.0,35.0,35.0,30.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,R_2y1JvhnbL24pPZc
52,BD,16,1,1.0,2.0,2.0,4.0,5.0,1.0,30.0,30.0,20.0,20.0,,,1.0,1.0,5.0,2.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,5.0,2.0,,,1.0,1.0,1.0,1.0,,,R_2v1WTJG18UEGBpe
53,BE,16,2,3.0,3.0,4.0,2.0,3.0,3.0,25.0,30.0,20.0,25.0,,,2.0,2.0,4.0,2.0,,,4.0,3.0,4.0,2.0,,,3.0,3.0,3.0,3.0,,,4.0,4.0,4.0,2.0,,,R_O2lU1qsjb4gvTUZ
54,BF,16,3,2.0,2.0,4.0,4.0,4.0,3.0,30.0,30.0,20.0,20.0,,,4.0,3.0,4.0,4.0,,,3.0,3.0,3.0,3.0,,,3.0,3.0,4.0,4.0,,,4.0,4.0,4.0,4.0,,,R_21oVDNnnegoIwmX
55,BG,16,4,1.0,2.0,7.0,6.0,3.0,3.0,30.0,30.0,15.0,25.0,,,1.0,1.0,6.0,2.0,,,2.0,2.0,6.0,2.0,,,4.0,2.0,5.0,4.0,,,6.0,4.0,4.0,4.0,,,R_b46LMuuObtgMxq1
56,BH,17,1,1.0,1.0,1.0,1.0,2.0,2.0,30.0,35.0,,35.0,,,3.0,1.0,,1.0,,,2.0,1.0,,1.0,,,2.0,1.0,,1.0,,,2.0,1.0,,1.0,,,R_b11ALqQupURWxpv
57,BI,17,2,2.0,2.0,3.0,3.0,4.0,3.0,30.0,35.0,0.0,35.0,,,3.0,2.0,7.0,2.0,,,2.0,2.0,7.0,2.0,,,2.0,2.0,7.0,2.0,,,2.0,2.0,7.0,2.0,,,R_1IKkebuRzeKL7mp
58,BK,17,4,2.0,2.0,2.0,1.0,2.0,1.0,30.0,35.0,0.0,35.0,,,1.0,1.0,4.0,1.0,,,1.0,1.0,4.0,1.0,,,2.0,1.0,4.0,1.0,,,1.0,1.0,4.0,1.0,,,R_bE4TnBfTCXhnXHz
59,BL,18,1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5u50eSdcy3YapDb
60,BN,18,3,2.0,2.0,2.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,R_2BfYniifQo5LMPw
61,BO,18,4,2.0,3.0,2.0,3.0,3.0,2.0,30.0,,40.0,30.0,,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,R_22lUKQvurrP7gu0
62,BP,19,1,1.0,1.0,1.0,1.0,2.0,1.0,20.0,20.0,30.0,30.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_2aybD8nB8FEb0Rj
63,BQ,19,2,2.0,2.0,2.0,2.0,4.0,3.0,20.0,20.0,30.0,30.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,R_1ePGbGFUpCY9CJ3
64,BR,19,3,1.0,2.0,1.0,1.0,2.0,2.0,22.0,23.0,25.0,30.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_3lWHvzeM3dLGcPm
65,BS,19,4,2.0,2.0,1.0,1.0,2.0,2.0,15.0,20.0,30.0,35.0,,,3.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,R_b1pbQhua7OjprWh
66,BT,20,1,1.0,,,1.0,1.0,1.0,20.0,40.0,40.0,,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,2.0,1.0,1.0,,,,1.0,1.0,1.0,,,,R_D34Vg0qnpK8bW9P
67,BU,20,2,2.0,2.0,2.0,2.0,2.0,2.0,33.3,33.3,33.3,,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,R_3et1SXOdmrT274a
68,BV,20,3,1.0,1.0,1.0,1.0,1.0,1.0,33.0,33.0,34.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,R_XGFN90KY5szlBLP
69,BW,21,1,1.0,1.0,1.0,1.0,2.0,1.0,50.0,25.0,0.0,25.0,,,1.0,2.0,7.0,2.0,,,1.0,1.0,7.0,1.0,,,1.0,2.0,4.0,2.0,,,2.0,2.0,4.0,2.0,,,R_w4CAy3JRXxBwbwl
70,BX,21,2,1.0,1.0,1.0,1.0,2.0,1.0,34.0,33.0,0.0,33.0,,,1.0,2.0,4.0,2.0,,,2.0,1.0,4.0,1.0,,,1.0,2.0,4.0,2.0,,,2.0,1.0,4.0,1.0,,,R_2QrrksrmMx96cHQ
71,BZ,21,4,1.0,1.0,1.0,1.0,2.0,1.0,40.0,25.0,10.0,25.0,,,1.0,1.0,6.0,1.0,,,1.0,1.0,6.0,1.0,,,1.0,1.0,6.0,1.0,,,1.0,1.0,6.0,1.0,,,R_1eEvSPjO8lrr4qL
72,CA,22,1,2.0,2.0,2.0,3.0,3.0,2.0,25.0,25.0,25.0,25.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,R_1LcsPArzQiMPFtv
73,CD,22,3,2.0,2.0,2.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,2.0,2.0,2.0,3.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,2.0,2.0,,R_3NwhKneVbRULZdP
74,CC,22,4,2.0,3.0,3.0,2.0,2.0,2.0,30.0,20.0,30.0,20.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,3.0,2.0,,,R_CZVS5VAsYw4TRtf
