,Student Name,TeamNumber,TeammateNumber,Q29_1,Q29_2,Q29_3,Q33_1,Q33_2,Q33_3,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q16_1.1,Q16_2.1,Q16_3.1,Q16_4.1,Q16_5,Q16_6.1,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6
0,A,1,1,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
1,B,1,2,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
2,C,1,3,3.0,3.0,3.0,3.0,3.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
3,D,1,4,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
4,E,2,1,1.0,1.0,1.0,1.0,3.0,1.0,23.0,31.0,23.0,23.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
5,F,2,2,2.0,,2.0,3.0,5.0,3.0,19.0,29.0,26.0,26.0,,,5.0,2.0,2.0,2.0,,,1.0,3.0,2.0,2.0,,,5.0,2.0,2.0,2.0,,,1.0,2.0,2.0,2.0,,
6,G,2,3,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
7,H,2,4,1.0,1.0,1.0,2.0,2.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
8,I,3,1,1.0,1.0,1.0,1.0,1.0,1.0,22.0,26.0,26.0,26.0,,,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
9,J,3,2,1.0,2.0,1.0,2.0,2.0,1.0,20.0,20.0,30.0,30.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
10,K,3,3,1.0,1.0,1.0,2.0,2.0,2.0,10.0,30.0,30.0,30.0,,,5.0,2.0,1.0,1.0,,,5.0,2.0,1.0,1.0,,,5.0,3.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,
11,L,3,4,2.0,2.0,2.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,2.0,2.0,2.0,2.0,,,3.0,2.0,3.0,2.0,,,2.0,2.0,2.0,2.0,,,3.0,2.0,3.0,2.0,,
12,M,4,1,2.0,2.0,1.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,2.0,,,1.0,2.0,1.0,2.0,,,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,
13,N,4,2,1.0,1.0,1.0,2.0,2.0,2.0,24.0,26.0,21.0,29.0,,,1.0,1.0,1.0,1.0,,,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
14,O,4,3,1.0,1.0,1.0,2.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,2.0,2.0,2.0,1.0,,,1.0,1.0,1.0,2.0,,
15,P,4,4,2.0,2.0,2.0,2.0,3.0,1.0,22.5,25.0,22.5,30.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,1.0,2.0,1.0,,,2.0,2.0,2.0,2.0,,
16,Q,5,1,1.0,1.0,1.0,1.0,1.0,1.0,34.0,33.0,33.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,
17,R,5,2,1.0,1.0,1.0,1.0,2.0,1.0,34.0,33.0,33.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
18,S,5,3,1.0,1.0,1.0,1.0,2.0,1.0,35.0,35.0,30.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
19,T,6,1,3.0,4.0,3.0,4.0,7.0,2.0,35.0,20.0,10.0,35.0,,,1.0,3.0,6.0,1.0,,,2.0,4.0,4.0,2.0,,,1.0,3.0,7.0,1.0,,,3.0,3.0,4.0,2.0,,
20,U,6,2,2.0,2.0,2.0,2.0,7.0,2.0,29.0,28.0,3.0,40.0,,,1.0,1.0,7.0,1.0,,,1.0,1.0,7.0,1.0,,,1.0,1.0,7.0,1.0,,,1.0,1.0,3.0,1.0,,
21,V,6,3,1.0,2.0,2.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,1.0,2.0,2.0,1.0,,,2.0,2.0,2.0,2.0,,,1.0,2.0,2.0,1.0,,,2.0,2.0,2.0,2.0,,
22,W,6,4,2.0,3.0,3.0,1.0,6.0,1.0,35.0,20.0,5.0,40.0,,,1.0,3.0,7.0,1.0,,,1.0,4.0,7.0,1.0,,,1.0,2.0,7.0,1.0,,,1.0,1.0,1.0,1.0,,
23,X,7,1,2.0,2.0,2.0,2.0,2.0,2.0,95.0,100.0,90.0,95.0,75.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,Y,7,2,2.0,2.0,7.0,7.0,7.0,1.0,10.0,40.0,5.0,15.0,10.0,20.0,7.0,2.0,7.0,3.0,7.0,4.0,6.0,2.0,7.0,3.0,5.0,3.0,7.0,2.0,7.0,4.0,5.0,3.0,7.0,3.0,7.0,7.0,7.0,7.0
25,Z,7,3,1.0,1.0,1.0,1.0,1.0,1.0,17.0,18.0,17.0,17.0,14.0,17.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
26,AA,7,4,2.0,2.0,2.0,3.0,4.0,3.0,16.0,20.0,16.0,16.0,16.0,16.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
27,AB,7,5,4.0,6.0,6.0,5.0,5.0,5.0,16.0,23.0,14.0,15.0,15.0,17.0,3.0,2.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0
28,AC,7,6,2.0,3.0,3.0,2.0,3.0,1.0,17.0,20.0,16.0,17.0,13.0,17.0,4.0,1.0,4.0,3.0,6.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0
29,AD,8,1,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
30,AE,8,2,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
31,AF,8,3,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
32,AG,8,4,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
33,AH,9,1,2.0,2.0,2.0,2.0,2.0,2.0,26.0,26.0,26.0,22.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,
34,AI,9,2,,,,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,
35,AJ,9,3,1.0,1.0,1.0,1.0,2.0,1.0,28.0,27.0,15.0,30.0,,,2.0,2.0,2.0,1.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,
36,AK,9,4,2.0,2.0,2.0,2.0,3.0,2.0,25.0,25.0,20.0,30.0,,,2.0,2.0,3.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,
37,AM,10,2,2.0,3.0,3.0,1.0,2.0,1.0,23.0,28.0,26.0,23.0,,,3.0,2.0,3.0,5.0,,,2.0,2.0,2.0,4.0,,,2.0,1.0,2.0,2.0,,,2.0,3.0,2.0,3.0,,
38,AN,10,3,2.0,3.0,2.0,1.0,2.0,2.0,25.0,25.0,25.0,25.0,,,4.0,2.0,2.0,4.0,,,3.0,2.0,2.0,3.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,
39,AO,10,4,1.0,2.0,2.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
40,AP,11,1,2.0,1.0,1.0,2.0,1.0,1.0,23.0,23.0,23.0,31.0,,,1.0,1.0,1.0,1.0,,,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
41,AQ,11,2,2.0,1.0,1.0,1.0,2.0,1.0,25.0,25.0,20.0,30.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
42,AR,11,3,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,20.0,30.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
43,AS,11,4,1.0,1.0,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
44,AU,13,2,3.0,3.0,2.0,3.0,2.0,2.0,25.0,23.0,29.0,23.0,,,2.0,5.0,2.0,5.0,,,3.0,2.0,2.0,2.0,,,2.0,3.0,1.0,3.0,,,1.0,1.0,1.0,1.0,,
45,AV,13,3,3.0,3.0,3.0,3.0,3.0,3.0,40.0,20.0,20.0,20.0,,,2.0,3.0,2.0,3.0,,,2.0,3.0,2.0,3.0,,,1.0,2.0,2.0,3.0,,,2.0,2.0,2.0,2.0,,
46,AW,13,4,2.0,2.0,2.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
47,AX,14,1,1.0,1.0,1.0,1.0,1.0,1.0,30.0,30.0,40.0,,,,2.0,2.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
48,AY,14,3,1.0,1.0,1.0,1.0,1.0,1.0,32.0,32.0,36.0,,,,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0
49,AZ,14,4,1.0,1.0,1.0,2.0,2.0,1.0,33.33333,33.33333,33.33333,,,,1.0,1.0,1.0,,,,1.0,1.0,2.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
50,BB,15,2,5.0,5.0,6.0,6.0,5.0,3.0,15.0,70.0,15.0,,,,6.0,2.0,6.0,,,,6.0,2.0,6.0,,,,5.0,2.0,5.0,,,,5.0,4.0,5.0,,,
51,BC,15,3,2.0,1.0,3.0,2.0,3.0,1.0,35.0,35.0,30.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
52,BD,16,1,1.0,2.0,2.0,4.0,5.0,1.0,30.0,30.0,20.0,20.0,,,1.0,1.0,5.0,2.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,5.0,2.0,,,1.0,1.0,1.0,1.0,,
53,BE,16,2,3.0,3.0,4.0,2.0,3.0,3.0,25.0,30.0,20.0,25.0,,,2.0,2.0,4.0,2.0,,,4.0,3.0,4.0,2.0,,,3.0,3.0,3.0,3.0,,,4.0,4.0,4.0,2.0,,
54,BF,16,3,2.0,2.0,4.0,4.0,4.0,3.0,30.0,30.0,20.0,20.0,,,4.0,3.0,4.0,4.0,,,3.0,3.0,3.0,3.0,,,3.0,3.0,4.0,4.0,,,4.0,4.0,4.0,4.0,,
55,BG,16,4,1.0,2.0,7.0,6.0,3.0,3.0,30.0,30.0,15.0,25.0,,,1.0,1.0,6.0,2.0,,,2.0,2.0,6.0,2.0,,,4.0,2.0,5.0,4.0,,,6.0,4.0,4.0,4.0,,
56,BH,17,1,1.0,1.0,1.0,1.0,2.0,2.0,30.0,35.0,,35.0,,,3.0,1.0,,1.0,,,2.0,1.0,,1.0,,,2.0,1.0,,1.0,,,2.0,1.0,,1.0,,
57,BI,17,2,2.0,2.0,3.0,3.0,4.0,3.0,30.0,35.0,0.0,35.0,,,3.0,2.0,7.0,2.0,,,2.0,2.0,7.0,2.0,,,2.0,2.0,7.0,2.0,,,2.0,2.0,7.0,2.0,,
58,BK,17,4,2.0,2.0,2.0,1.0,2.0,1.0,30.0,35.0,0.0,35.0,,,1.0,1.0,4.0,1.0,,,1.0,1.0,4.0,1.0,,,2.0,1.0,4.0,1.0,,,1.0,1.0,4.0,1.0,,
59,BL,18,1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,BN,18,3,2.0,2.0,2.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,
61,BO,18,4,2.0,3.0,2.0,3.0,3.0,2.0,30.0,,40.0,30.0,,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
62,BP,19,1,1.0,1.0,1.0,1.0,2.0,1.0,20.0,20.0,30.0,30.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
63,BQ,19,2,2.0,2.0,2.0,2.0,4.0,3.0,20.0,20.0,30.0,30.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,
64,BR,19,3,1.0,2.0,1.0,1.0,2.0,2.0,22.0,23.0,25.0,30.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
65,BS,19,4,2.0,2.0,1.0,1.0,2.0,2.0,15.0,20.0,30.0,35.0,,,3.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
66,BT,20,1,1.0,,,1.0,1.0,1.0,20.0,40.0,40.0,,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,2.0,1.0,1.0,,,,1.0,1.0,1.0,,,
67,BU,20,2,2.0,2.0,2.0,2.0,2.0,2.0,33.3,33.3,33.3,,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,
68,BV,20,3,1.0,1.0,1.0,1.0,1.0,1.0,33.0,33.0,34.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
69,BW,21,1,1.0,1.0,1.0,1.0,2.0,1.0,50.0,25.0,0.0,25.0,,,1.0,2.0,7.0,2.0,,,1.0,1.0,7.0,1.0,,,1.0,2.0,4.0,2.0,,,2.0,2.0,4.0,2.0,,
70,BX,21,2,1.0,1.0,1.0,1.0,2.0,1.0,34.0,33.0,0.0,33.0,,,1.0,2.0,4.0,2.0,,,2.0,1.0,4.0,1.0,,,1.0,2.0,4.0,2.0,,,2.0,1.0,4.0,1.0,,
71,BZ,21,4,1.0,1.0,1.0,1.0,2.0,1.0,40.0,25.0,10.0,25.0,,,1.0,1.0,6.0,1.0,,,1.0,1.0,6.0,1.0,,,1.0,1.0,6.0,1.0,,,1.0,1.0,6.0,1.0,,
72,CA,22,1,2.0,2.0,2.0,3.0,3.0,2.0,25.0,25.0,25.0,25.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,
73,CD,22,3,2.0,2.0,2.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,,,2.0,2.0,2.0,3.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,2.0,2.0,
74,CC,22,4,2.0,3.0,3.0,2.0,2.0,2.0,30.0,20.0,30.0,20.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,3.0,2.0,,
